# timestamp scenario_index distance orientation rssi battery heart_rate
1459507834965 numberOfScenarios: 210
# Scenario 1 = 0.1m, -90.0°
1459507897618 2 0.1 -60.0 -43 0 110
1459507897860 2 0.1 -60.0 -43 0 110
1459507898107 2 0.1 -60.0 -43 0 110
1459507898360 2 0.1 -60.0 -43 0 110
1459507898600 2 0.1 -60.0 -44 0 110
1459507898845 2 0.1 -60.0 -43 0 110
1459507899339 2 0.1 -60.0 -44 0 110
1459507899588 2 0.1 -60.0 -43 0 110
1459507899831 2 0.1 -60.0 -43 0 110
1459507900078 2 0.1 -60.0 -43 0 110
1459507900328 2 0.1 -60.0 -43 0 110
1459507900570 2 0.1 -60.0 -43 0 110
1459507900814 2 0.1 -60.0 -43 0 110
1459507901061 2 0.1 -60.0 -43 0 110
1459507901309 2 0.1 -60.0 -43 0 110
1459507901555 2 0.1 -60.0 -43 0 110
1459507901800 2 0.1 -60.0 -43 0 110
1459507902048 2 0.1 -60.0 -43 0 110
1459507902294 2 0.1 -60.0 -43 0 110
1459507902544 2 0.1 -60.0 -43 0 110
1459507902787 2 0.1 -60.0 -43 0 110
1459507903278 2 0.1 -60.0 -43 0 110
1459507903525 2 0.1 -60.0 -43 0 110
1459507903774 2 0.1 -60.0 -43 0 110
1459507904017 2 0.1 -60.0 -43 0 110
1459507904263 2 0.1 -60.0 -43 0 110
1459507904509 2 0.1 -60.0 -43 0 110
1459507904758 2 0.1 -60.0 -43 0 110
1459507905004 2 0.1 -60.0 -43 0 110
1459507905248 2 0.1 -60.0 -43 0 110
1459507905494 2 0.1 -60.0 -43 0 110
1459507905742 2 0.1 -60.0 -43 0 110
1459507905987 2 0.1 -60.0 -43 0 110
1459507906233 2 0.1 -60.0 -43 0 110
1459507906727 2 0.1 -60.0 -43 0 110
1459507906971 2 0.1 -60.0 -43 0 110
1459507907220 2 0.1 -60.0 -43 0 110
1459507907471 2 0.1 -60.0 -43 0 110
1459507907712 2 0.1 -60.0 -43 0 110
1459507907956 2 0.1 -60.0 -43 0 110
1459507908205 2 0.1 -60.0 -43 0 110
1459507908452 2 0.1 -60.0 -43 0 110
1459507908697 2 0.1 -60.0 -43 0 110
1459507908941 2 0.1 -60.0 -43 0 110
1459507909189 2 0.1 -60.0 -43 0 110
1459507909434 2 0.1 -60.0 -43 0 110
1459507909682 2 0.1 -60.0 -42 0 110
